timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624845301598,14,Mybatis Delete,200,,Delete 1-1,text,true,,177,187,1,1,http://localhost:8080/accounts/delete,13,0,1
1624845301613,19,Hibernate Delete,500,,Delete 1-1,text,false,,8676,187,1,1,http://localhost:9090/accounts/delete,19,0,1
1624845301633,5,Mybatis Delete,200,,Delete 1-1,text,true,,177,187,1,1,http://localhost:8080/accounts/delete,4,0,0
1624845301638,13,Hibernate Delete,500,,Delete 1-1,text,false,,8676,187,1,1,http://localhost:9090/accounts/delete,12,0,0
1624845301651,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,187,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301654,14,Hibernate Delete,500,,Delete 1-1,text,false,,8676,187,1,1,http://localhost:9090/accounts/delete,13,0,1
1624845301668,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,187,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301671,13,Hibernate Delete,500,,Delete 1-1,text,false,,8676,187,1,1,http://localhost:9090/accounts/delete,13,0,1
1624845301684,4,Mybatis Delete,200,,Delete 1-1,text,true,,177,187,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301688,18,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,17,0,1
1624845301706,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301709,14,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,14,0,1
1624845301723,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301726,13,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,13,0,1
1624845301739,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301742,14,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,13,0,1
1624845301756,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,2,0,0
1624845301759,13,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,12,0,0
1624845301772,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301775,13,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,13,0,1
1624845301788,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
1624845301791,11,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,11,0,1
1624845301802,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,2,0,0
1624845301805,10,Hibernate Delete,500,,Delete 1-1,text,false,,8678,188,1,1,http://localhost:9090/accounts/delete,10,0,1
1624845301815,3,Mybatis Delete,200,,Delete 1-1,text,true,,177,188,1,1,http://localhost:8080/accounts/delete,3,0,0
