id;name;base_stat_id;created_at;modified_at;deleted_at
1;Riekling;31;2004-06-27T15:33:22.518;2018-11-03T14:01:57.720;\N
2;Bosmer;17;2015-06-05T06:58:06.056;2019-05-19T23:35:41.827;2020-06-20T17:06:50.173
3;Riekling;41;2019-09-07T18:55:32.140;\N;\N
4;Dunmer;26;2013-02-28T15:49:19.001;2019-12-24T01:36:24.481;\N
5;Altmer;23;2010-01-14T19:48:19.161;\N;\N
6;Dunmer;38;2003-09-13T01:39:30.841;2008-01-17T20:41:20.409;2011-05-17T09:21:58.428
7;Orc;26;2012-09-17T17:59:34.066;\N;2021-01-25T23:50:04.393
8;Khajiit;10;2004-05-24T03:12:06.253;2006-04-16T10:53:07.261;\N
9;Riekling;32;2017-11-05T04:48:34.348;\N;\N
10;Dunmer;41;2012-04-28T15:50:43.393;2014-05-16T03:17:26.387;2014-06-13T17:07:41.042
11;Dwemer;1;2015-04-04T15:04:12.219;2020-09-14T16:25:41.664;2021-02-21T10:15:13.504
12;Khajiit;38;2008-06-25T22:49:32.140;2018-07-10T06:23:39.107;\N
13;Nord;5;2019-05-01T12:39:53.337;2019-05-20T13:07:52.503;2020-01-22T13:41:37.869
14;Bosmer;7;2012-09-30T03:21:03.540;2014-07-12T03:07:52.019;\N
15;Redguard;9;2002-01-25T10:46:15.051;2020-10-24T10:13:04.757;2021-03-14T10:47:20.155
16;Orc;4;2012-07-14T19:19:47.155;2014-01-08T10:51:05.038;2015-09-19T06:38:18.626
17;Altmer;50;2013-01-21T08:45:34.273;\N;\N
18;Dunmer;21;2016-05-29T00:27:07.451;\N;\N
19;Imperial;27;2014-04-20T20:22:16.828;2015-11-06T02:19:39.673;\N
20;Dwemer;13;2006-03-22T03:16:37.654;\N;\N
21;Bosmer;47;2012-07-04T11:28:25.684;\N;\N
22;Imperial;3;2010-12-31T19:38:36.049;2017-11-06T08:58:16.072;\N
23;Imperial;20;2009-12-15T18:15:25.435;2015-05-23T03:52:25.999;\N
24;Dunmer;16;2007-04-17T05:14:11.419;2012-01-22T18:40:15.493;\N
25;Altmer;2;2014-04-23T02:28:13.404;2017-10-19T14:31:16.169;2021-02-23T22:21:17.395
26;Altmer;7;2003-01-11T17:07:05.320;2015-12-21T18:54:36.869;\N
27;Orc;21;2003-09-20T13:17:02.088;\N;2020-08-25T20:24:06.268
28;Breton;15;2004-10-08T03:47:42.842;\N;2015-09-22T05:30:53.834
29;Argonian;28;2020-10-02T00:57:12.275;2020-10-05T09:10:46.290;\N
30;Altmer;6;2015-06-30T16:31:21.186;2017-09-16T14:36:20.947;\N
31;Argonian;30;2019-12-10T12:02:21.626;\N;2020-10-17T20:42:44.929
32;Altmer;6;2007-02-10T00:51:05.859;2009-04-13T03:25:46.569;2019-06-30T02:00:26.071
33;Imperial;41;2009-11-04T04:47:30.568;2014-07-07T22:32:58.013;\N
34;Breton;39;2002-11-13T08:30:03.801;2020-05-16T03:42:51.608;2020-08-11T01:23:56.762
35;Imperial;5;2005-01-03T23:01:33.625;2009-02-16T08:01:21.531;\N
36;Dwemer;16;2013-02-06T01:00:42.680;2018-10-24T05:50:05.568;2020-12-29T15:52:20.294
37;Breton;36;2004-02-01T07:04:39.198;\N;\N
38;Altmer;20;2006-09-20T04:00:19.607;2014-10-08T20:44:23.821;2020-10-19T22:37:23.778
39;Nord;34;2002-04-21T23:40:11.843;\N;2017-09-07T14:12:47.749
40;Nord;16;2015-12-05T11:32:44.175;2020-02-25T02:39:14.243;2020-11-22T03:04:16.013
41;Nord;21;2006-05-18T12:43:37.613;2006-11-19T19:08:28.176;2019-09-29T23:26:14.567
42;Imperial;1;2013-01-01T18:39:18.878;\N;\N
43;Bosmer;21;2004-11-12T20:22:33.511;\N;\N
44;Riekling;25;2019-04-25T15:24:53.297;\N;\N
45;Khajiit;8;2010-03-24T05:40:48.287;\N;\N
46;Orc;18;2016-12-23T21:37:10.754;2020-08-29T23:40:56.782;2020-12-14T15:08:19.249
47;Breton;41;2007-05-12T03:09:29.421;2007-12-11T08:04:33.683;2014-05-07T16:33:46.871
48;Breton;4;2020-09-20T15:55:32.734;2020-10-06T20:59:51.134;2021-03-24T22:02:57.996
49;Imperial;40;2004-11-18T03:42:38.580;\N;2018-12-15T04:40:20.543
50;Orc;31;2010-05-26T01:48:15.882;\N;\N
